ID,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Expected Date,Groups With Access Code,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
89,ELEC,The Mill Casino,3201 Tremont Ave,North Bend,OR,97459,E,,Public,,,,,1,,,,,200-8,43.3946676,-124.2195544,,,,,J1772
90,LPG,U-Haul,1011 Highway 14,Lake Charles,LA,70601,E,,Public,,,,,,,,,,200-8,30.2250294,-93.1800662,,,TRUE,,
91,ELEC,Coggin Nissan at the Avenues,10859 Philips Hwy,Jacksonville,FL,32256,E,,Private,,,,,1,,,,,200-8,30.1725503,-81.5452976,,,,,J1772
92,LPG,Heritage Propane,4504 E Lamar Alexander Pkwy,Walland,TN,37886,E,,Public - Call ahead,,,,,,,,,,200-8,35.7477416,-83.8371242,,,TRUE,,
93,ELEC,POMONA COLLEGE,E 1st St,Claremont,CA,91711,E,,Public,,,,6,6,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,34.0948257,-117.7110748,,,,,NEMA520 J1772
94,CNG,AT&T,100 W Alondra Rd,Gardena,CA,90248,E,,Private - Fleet customers only,,Q,3600,,,,,,,200-8,33.884129,-118.277308,,MD,,,
95,ELEC,NATIONAL GRID,222 Richmond St,Providence,RI,2903,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.819064,-71.408276,,,,,J1772
96,CNG,Encana - Plano,5851 Legacy Cir,Plano,TX,75024,E,,Private,,T,3600,,,,,,,200-8,33.0806397,-96.8227015,,MD,,,
97,ELEC,CITYOFSANTAROSA,97 D St,Santa Rosa,CA,95404,E,,Public,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,38.4394146,-122.7112467,,,,,NEMA520 J1772
98,ELEC,Spartanburg Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,E,,Public,,,,,2,,,,,200-8,34.9520415,-81.9315933,,,,,J1772
99,E85,Elgin One Stop,501 N 2nd St,Elgin,NE,68636,E,,Public,,,,,,,,,,200-8,41.9880838,-98.0845375,,,,TRUE,
100,ELEC,Chatsworth Metrolink Station,10046 Old Depot Plaza Rd,Chatsworth,CA,91311,E,,Public,,,,,2,,,,,200-8,34.2533868,-118.5988554,,,,,J1772
101,ELEC,Embassy Suites Frisco Hotel & Convention Center --- South Parking Lot,7600 John Q Hammons Drive,Frisco,TX,75034,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,33.099784,-96.81732,,,,,J1772
102,ELEC,CARCHARGING,1 Pennsylvania Plaza,New York,NY,10119,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,40.75147,-73.9927795,,,,,NEMA520 J1772
103,BD,Forest Service - Cleveland National Forest,,Santa Ysabel,CA,92070,E,,Private,B20,,,,,,,,,GPS,33.212382,-116.710639,,,,,
104,BD,City of Phoenix - Fire Station #59,1111 S 65th Ave,Phoenix,AZ,85043,E,,Private,B20,,,,,,,,,200-8,33.4379359,-112.1982409,,,,,
105,ELEC,Google,1842 N Shoreline Blvd,Mountain View,CA,94043,E,,Private,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,37.41968918,-122.0785,,,,,J1772
106,CNG,NGV Solutions LLC,5495 Lakeland Dr,Flowood,MS,39232,E,,Private,,T,3600,,,,,,,200-8,32.350721,-90.030272,,HD,,,
107,ELEC,OUC,65 W Washington St,Orlando,FL,32801,E,,Public,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,28.544092,-81.380449,,,,,NEMA520 J1772
108,E85,Kroger Fuel Center #844,175 Lancaster Pike,Circleville,OH,43113,E,,Public,,,,,,,,,,200-8,39.5989347,-82.9322989,,,,FALSE,
109,ELEC,MBTA,280 Ivory St,Braintree,MA,2184,E,,Public,,,,,5,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,42.205989,-71.000792,,,,,J1772
110,ELEC,Hilton La Jolla Torrey Pines,10950 North Torrey Pines Road,La Jolla,CA,92037,E,,Public,,,,,7,,,Blink Network,http://www.blinknetwork.com/,GPS,32.9015358,-117.2437714,,,,,J1772
111,E85,Kum & Go #240,530 North Ave,Norwalk,IA,50211,E,,Public,,,,,,,,,,200-8,41.475025,-93.68187,,,,FALSE,
112,ELEC,John Elway Chevrolet - Voltec,5200 S Broadway,Englewood,CO,80113,E,,Private,,,,1,,,,,,200-8,39.621219,-104.986672,,,,,NEMA520
113,E85,Citgo - Tiger Gas,7901 S Natchez,Burbank,IL,60459,E,,Public,,,,,,,,,,200-8,41.748129,-87.782278,,,,FALSE,
114,ELEC,Benton Nissan,1834 US Highway 78 E,Oxford,AL,36203,E,,Private,,,,,1,,,,,200-8,33.6148266,-85.7999231,,,,,J1772
115,ELEC,350GREEN,1251 US Highway 31 N,Greenwood,IN,46142,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.6306269,-86.121309,,,,,J1772
116,ELEC,Concordville Nissan,452 Wilmington W Chester Pike,Glen Mills,PA,19342,E,,Private,,,,,1,,,,,200-8,39.8658371,-75.5442656,,,,,J1772
117,BD,National Grid - Westborough,25 Research Dr,Westborough,MA,1581,E,,Private,"B20 in summer, B5 in winter",,,,,,,,,200-8,42.2872382,-71.5770683,,,,,
118,HY,Kaneohe Marine Base,370 3rd St,Kaneohe Bay,HI,96863,E,,Private - Government only,,,,,,,,,,GPS,21.44651,-157.76177,,,,,
119,E85,Speedway #5491,18799 Fort St,Riverview,MI,48193,E,,Public,,,,,,,,,,GPS,42.170847,-83.188294,,,,FALSE,
120,ELEC,El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,E,,Public,,,,,1,,1 SP Inductive,,,GPS,38.72799,-120.828,,,,,J1772
121,ELEC,Santa Clara University - Leavey Lot,500 S El Camino Real,Santa Clara,CA,95050,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,37.34946442,-121.9343033,,,,,NEMA520 J1772
122,LPG,Martin LP Gas,5553 Highway 300,Longview,TX,75604,E,,Public,,,,,,,,,,200-8,32.5804954,-94.812316,,,FALSE,,
123,ELEC,Crowley Nissan,1451 Farmington Ave,Bristol,CT,6010,E,,Public - Call ahead,,,,,2,,,,,200-8,41.6992932,-72.8956037,,,,,J1772
124,LPG,AmeriGas,163 Railroad Ave SW,New Albin,IA,52160,E,,Public - Call ahead,,,,,,,,,,200-8,43.4959947,-91.2917817,,,TRUE,,
125,LPG,Ferrellgas - Andrews Shell,9060 W Northern Ave,Glendale,AZ,85305,E,,Public - Card key at all times,,,,,,,,,,200-8,33.552254,-112.254324,,,TRUE,,
126,E85,United Western Co-op,3165 US Highway 30,Woodbine,IA,51579,E,,Public - Credit card at all times,,,,,,,,,,GPS,41.727864,-95.702833,,,,TRUE,
127,ELEC,UM PTS,646 W Pratt St,Baltimore,MD,21201,E,,Public,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.2863138,-76.6251238,,,,,NEMA520 J1772
128,LPG,U-Haul,1500 Blizzard Dr,Parkersburg,WV,26101,E,,Public,,,,,,,,,,200-8,39.243167,-81.552325,,,FALSE,,
129,ELEC,Panera Bread - Tesla,3260 Niles Rd,Saint Joseph,MI,49085,E,,Public,,,,,,8,,,,200-8,42.056717,-86.456695,,,,,TESLA
130,E85,Kwik Trip #485,6 W Hidden Tr,Elkhorn,WI,53121,E,,Public,,,,,,,,,,GPS,42.694575,-88.54249,,,,FALSE,
131,LPG,Herring Gas Co,309 S 10th Ave,Laurel,MS,39440,E,,Public,,,,,,,,,,200-8,31.6870189,-89.1386445,,,FALSE,,
132,ELEC,Fifth Street Parking Garage,341 N 5th St,Garland,TX,75040,E,,Public - Card key at all times,,,,,3,,,,,GPS,32.9152,-96.6366,,,,,J1772
133,LNG,Burrtec Waste,9820 Cherry Ave,Fontana,CA,92335,E,,Private,,,,,,,,,,200-8,34.07585,-117.4889191,,HD,,,
134,BD,DC Department of Public Works - MPD 3rd District,1620 V St NW,Washington,DC,20009,E,,Private - Government only,"B20 in summer, B5",,,,,,,,,200-8,38.917766,-77.037726,,,,,
135,E85,Fanco,103 Comfort Dr,Jacksonville,IL,62650,E,,Public,,,,,,,,,,200-8,39.6923323,-90.2287682,,,,FALSE,
136,LPG,Penman Conoco Service,609  E Main St,Knox City,TX,79529,E,,Public,,,,,,,,,,200-8,33.4180937,-99.8129655,,,FALSE,,
137,ELEC,CARCHARGING,610 Exterior St,Bronx,NY,10451,E,,Public,,,,1,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,40.8217784,-73.9304016,,,,,J1772 NEMA520
138,ELEC,WEST GERMAN BMW,500 Pennsylvania Ave,Fort Washington,PA,19034,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,40.134012,-75.2074839,,,,,J1772
139,LNG,Clean Energy - Jacksonville,440-1 Lane Ave S,Jacksonville,FL,32254,E,,Public - Card key at all times,,,,,,,,,,200-8,30.3243386,-81.7518892,,HD,,,
140,ELEC,Pearson Ford,10650 N Michigan Rd,Zionsville,IN,46077,E,,Public,,,,,2,,,,,200-8,39.9416571,-86.2372927,,,,,J1772
141,ELEC,IRL WEST RAMP,909 E 2nd Ave,Coralville,IA,52241,E,,Public,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.682581,-91.5626321,,,,,NEMA520 J1772
142,ELEC,ABBERLYCROSSING,9698 Patriot Crossing,Ladson,SC,29456,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,32.9555017,-80.1166499,,,,,J1772
143,E85,Qik-n-EZ #62,1607 Morrissey Dr,Bloomington,IL,61704,E,,Public,,,,,,,,,,200-8,40.4589719,-88.9699779,,,,FALSE,
144,ELEC,"Walgreens - Lutherville, MD #12847",1801 York Road,Lutherville,MD,21093,E,,Public - Card key at all times,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,39.4306377,-76.6208506,,,,,J1772
145,ELEC,350GREEN,6170 W. Grand,Gurnee,IL,60031,E,,Public,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,42.3897247,-87.955513,,,,,J1772
146,ELEC,Kroger Store #308,11003 Shadow Creek Pkwy,Pearland,TX,77584,E,,Public,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,29.583886,-95.387923,,,,,J1772
147,E85,Beaufort Marine Corps Air Station,Moore St,Beaufort,SC,29904,E,,Private,,,,,,,,,,GPS,32.461238,-80.710684,,,,FALSE,
148,ELEC,Bloomingdale Court Shopping Center,396 W Army Trail Rd,Bloomingdale,IL,60108,E,,Public,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.938396,-88.112679,,,,,J1772
